WKT,id,title_no,status,type,land_district,issue_date,guarantee_status,estate_description,number_owners,spatial_extents_shared
"POLYGON ((392705.431168127 795233.02360993,392702.219309987 795235.199018988,392706.177301116 795250.162798458,392713.837621563 795260.93961095,392774.971888693 795346.92420289,392813.680303434 795401.335780438,392814.747838992 795411.271165737,392832.727419188 795435.916507167,392836.826192558 795433.025588558,392844.438246506 795443.611565994,392871.131287254 795423.295283245,392888.23944139 795410.273586694,392901.671746828 795400.050673777,392905.357303282 795397.262965227,392922.424757061 795384.354063042,392938.534117747 795372.164225883,392954.021950994 795360.447599476,392971.248452137 795347.41287201,392988.311492284 795334.496402603,393003.262893615 795323.184522808,393019.05356945 795311.238532043,393036.797947927 795297.811726258,393053.148519741 795285.440470791,393072.685907007 795270.656658843,393089.431575949 795257.983980996,393106.816781393 795244.832457767,393128.348162402 795228.538114134,393066.183241095 795176.612105859,392927.28339662 795060.97934517,392881.279197511 795110.409880379,392835.987480168 795144.266488159,392730.383056164 795216.074923009,392705.431168127 795233.02360993))",5045081,990738,LIVE,Leasehold,Nelson,2020/12/23 15:08:13,Guarantee,"Leasehold, 1/1, Part Lot 1 Deposited Plan 14804 and Part Lot 1 Deposited Plan 5452 and Section 2 Survey Office Plan 330963, 80,382 m2",1,T
"MULTIPOLYGON (((386913.008839272 791278.36710098,386929.200507945 791259.019809295,386997.502664633 791177.344111672,387084.042964762 791249.512556923,387070.580035285 791265.63132072,387177.388885011 791354.686387533,387447.791561372 791580.187377865,387496.133717467 791522.232153432,387553.712244758 791453.20486753,387321.302865527 791259.40260495,387406.947118832 791156.701721842,387450.885604853 791102.468937782,387302.696235549 790978.411278915,387219.974056589 790909.528437008,387104.232057319 790813.081720009,386797.167801898 791181.669181766,386913.008839272 791278.36710098)),((387440.712374009 790812.461353786,387357.84482388 790743.315119522,387232.819809066 790894.054314839,387315.565604779 790962.951857937,387440.712374009 790812.461353786)))",5013597,957513,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 552639 and Lot 2-3 Deposited Plan 1847, 252,444 m2",1,F
"POLYGON ((386997.502664633 791177.344111672,386929.200507945 791259.019809295,386913.008839272 791278.36710098,386806.051834244 791406.685984522,386800.838578182 791412.586812072,386807.492768747 791418.126045905,386887.233101334 791484.866515288,387015.663147939 791331.105623771,387118.647863098 791416.985750889,387122.491803068 791420.170775007,387174.092033172 791358.421466762,387216.337467747 791393.657952481,387444.603338675 791584.035682158,387447.791561372 791580.187377865,387177.388885011 791354.686387533,387070.580035285 791265.63132072,387084.042964762 791249.512556923,386997.502664633 791177.344111672))",5013596,957512,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 552639, 48,188 m2",3,F
"POLYGON ((387164.728987375 791455.4038443,387216.337467747 791393.657952481,387174.092033172 791358.421466762,387122.491803068 791420.170775007,387122.749467741 791420.382248306,387164.728987375 791455.4038443))",5036712,981943,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 457287, 4,426 m2",3,F
"POLYGON ((395283.865159353 798207.969271237,395305.061880016 798238.139370176,395317.533141022 798229.381099855,395336.788196223 798215.857162889,395331.450809905 798185.682548567,395321.465958081 798181.557676533,395296.336403852 798199.209193287,395283.865159353 798207.969271237))",5035555,980732,LIVE,Leasehold,Nelson,2020/12/22 16:47:01,Guarantee,"Leasehold, 1/1, Lot 1 Deposited Plan 8766, 1,700 m2",1,T
"POLYGON ((393519.469045831 794706.551753608,393521.571419004 794708.687839966,393523.675183237 794710.823926943,393509.194868876 794725.078535489,393507.056614689 794727.181216301,393496.010578847 794738.055239027,393497.563913164 794739.3486376,393548.589835503 794781.915380271,393619.729297734 794841.245488527,393622.723094788 794843.743273489,393628.009318422 794848.15144905,393640.257324956 794833.470769191,393643.396148707 794829.708574821,393656.100875769 794814.480363059,393690.929228316 794843.530724745,393735.830375128 794801.077939487,393720.398527913 794784.755424482,393733.115603127 794772.734884945,393742.698773507 794763.673223089,393730.656151065 794750.935339356,393721.441674339 794759.647464431,393708.404794718 794771.971267741,393694.444779508 794762.613447215,393689.460458174 794759.273614469,393676.244048951 794778.997524526,393670.256628187 794773.815049401,393661.501409157 794766.23126529,393622.080121451 794732.10867143,393584.430020568 794699.514514802,393542.733161838 794714.507722361,393531.513075156 794703.106670015,393529.409310865 794700.97058528,393527.306947648 794698.832657574,393574.339540024 794652.530812328,393560.158872916 794623.364940154,393552.663717374 794600.357713357,393548.56639305 794578.897233763,393546.940654175 794557.039129999,393547.770731283 794535.235038523,393551.115518445 794513.144422281,393559.827073854 794512.843025258,393570.034174336 794514.442083429,393584.303553311 794518.80085428,393585.812130682 794513.856306036,393587.123392272 794509.55387814,393589.265891054 794502.533061574,393569.055278933 794496.368012098,393563.805371906 794495.400836638,393555.235433311 794494.950852462,393556.720215354 794474.374543684,393557.957435655 794457.590734182,393556.284376171 794446.607243022,393552.340455477 794436.325114202,393540.999336485 794424.983180604,393527.608842464 794439.862603344,393503.734313637 794466.390253716,393480.721414516 794491.96162506,393468.179901001 794505.899530274,393450.720318019 794525.300845309,393434.157371937 794543.707095395,393420.107149415 794559.326116202,393407.65619945 794573.154792401,393406.05268206 794574.943251017,393403.979843947 794577.242171504,393391.327693703 794591.30386333,393377.158566908 794607.043003703,393375.145860078 794609.182776925,393360.775432905 794625.253038657,393368.815133748 794631.959169841,393398.596734236 794656.798997175,393400.902977541 794658.720591183,393401.015917178 794658.816938584,393467.244809385 794714.055233893,393491.431277481 794686.161950273,393493.398035767 794683.896228288,393519.469045831 794706.551753608))",5005525,948955,LIVE,Unit Title,Nelson,2020/12/22 14:26:12,Guarantee,"Stratum in Freehold, 1/1, Principal Unit 12A Deposited Plan 438056",1,T
"POLYGON ((390104.529419112 793016.791297309,390107.372157133 793019.16446139,390133.33222028 792988.123152726,390130.497864005 792985.744457041,390101.831102532 792961.694117336,390099.065044837 792959.376585696,390075.949884324 792987.080579456,390076.532716481 792993.428493613,390104.529419112 793016.791297309))",5034170,979278,LIVE,Leasehold,Nelson,2020/12/22 13:29:45,Guarantee,"Leasehold, 1/1, Lot 1 Deposited Plan 15577 and Part Section 25 Waimea East District, 1,975 m2",1,T
"POLYGON ((389583.991243105 791001.781850814,389597.779359204 791013.355687201,389599.707338005 791011.057632362,389616.408061542 790991.149789844,389602.600421652 790979.579669873,389590.855127998 790993.597249436,389583.991243105 791001.781850814))",5021884,966341,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 104 Deposited Plan 550903, 522 m2",1,F
"POLYGON ((389646.456095283 791040.49272036,389669.894002788 791060.161713756,389677.737899949 791047.376800988,389676.765462832 791041.722411031,389658.370352859 791026.310555897,389646.456095283 791040.49272036))",5021880,966337,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 100 Deposited Plan 550903, 534 m2",1,F
"POLYGON ((389473.844475559 791065.621838565,389478.849981032 791068.577768171,389498.244760888 791040.674009946,389491.32544168 791035.022091974,389489.391868009 791033.45333087,389481.258243302 791048.653210208,389473.844475559 791065.621838565))",5007240,950766,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 550903, 310 m2",1,F
"POLYGON ((389693.716496305 791052.671201858,389682.892165227 791070.336736634,389705.736766843 791089.549418963,389713.029416997 791087.795744928,389726.496436421 791072.271832417,389696.892635888 791047.485463544,389693.716496305 791052.671201858))",5021879,966336,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 88 Deposited Plan 550903, 952 m2",1,F
"POLYGON ((389597.779359204 791013.355687201,389611.567530329 791024.927631289,389613.482944918 791022.636962619,389630.203206433 791002.710613947,389616.408061542 790991.149789844,389599.707338005 791011.057632362,389597.779359204 791013.355687201))",5021883,966340,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 103 Deposited Plan 550903, 522 m2",1,F
"POLYGON ((389473.844475559 791065.621838565,389481.258243302 791048.653210208,389489.391868009 791033.45333087,389487.408179822 791031.819714734,389469.38527142 791062.953613365,389472.265653037 791064.664423288,389473.844475559 791065.621838565))",5007239,950765,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 550903, 125 m2",1,F
"POLYGON ((389611.567530329 791024.927631289,389623.594952746 791035.019930598,389625.893459452 791036.946427604,389627.821435557 791034.648365384,389644.534711341 791014.71826468,389630.203206433 791002.710613947,389613.482944918 791022.636962619,389611.567530329 791024.927631289))",5021882,966339,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 102 Deposited Plan 550903, 543 m2",1,F
"POLYGON ((389573.981517676 790979.444205189,389563.177775608 790992.35989016,389562.535117738 790993.127130667,389579.387835946 791007.26721037,389583.991243105 791001.781850814,389590.855127998 790993.597249436,389602.600421652 790979.579669873,389588.873613845 790968.0781306,389583.07515529 790968.588097623,389573.981517676 790979.444205189))",5021885,966342,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 105 Deposited Plan 550903, 787 m2",1,F
"POLYGON ((389625.893459452 791036.946427604,389639.720721412 791048.549848058,389646.456095283 791040.49272036,389658.370352859 791026.310555897,389644.534711341 791014.71826468,389627.821435557 791034.648365384,389625.893459452 791036.946427604))",5021881,966338,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 101 Deposited Plan 550903, 524 m2",2,F
"MULTIPOLYGON (((389833.324270395 793032.314972427,389818.794798198 793024.10203469,389811.223843116 793019.998829038,389753.563365321 792984.568929152,389704.560126349 792949.937524184,389695.8039361 792943.568721887,389693.381812693 792941.799419044,389674.42581534 792927.9158207,389625.826532856 792888.388519362,389577.291850264 792847.953992772,389561.921416775 792835.165482027,389546.460487598 792822.289814152,389538.74261344 792815.839030607,389523.291545285 792802.95591919,389478.273444844 792765.4429831,389360.603646281 792667.312220292,389344.967915388 792654.261862515,389303.918407336 792620.031801298,389269.940214319 792591.696337245,389236.668676103 792563.950381879,389218.145128965 792548.500250655,389199.620260129 792533.051924276,389180.674714086 792517.249383228,389158.116544089 792498.437192028,389112.447454828 792460.339781307,389070.419243939 792425.336896144,389041.310706286 792401.09655902,388990.473972181 792358.760994023,388946.681766882 792322.288704267,388914.472851176 792295.462820337,388880.579817137 792267.242253045,388859.910636554 792292.006745111,388988.699504233 792399.278849076,388996.392820807 792390.024342062,389099.467572408 792475.876214771,389293.14298666 792637.315489335,389304.661396306 792646.920709709,389350.551469215 792685.167160058,389399.087943198 792725.62728991,389564.478298537 792863.487798641,389659.149830541 792941.626737384,389680.076675441 792957.756602827,389682.504394068 792959.51296833,389717.595534592 792984.518084335,389747.648138629 793004.39971718,389776.818730716 793022.639994043,389781.980410263 793025.706981293,389799.407285091 793036.023099431,389808.102640087 793041.157061569,389823.642782256 793049.939689959,389839.883420796 793058.630718172,389858.346922861 793068.013390944,389877.051954402 793077.294554989,389898.399628951 793087.380827768,389912.863501396 793093.766554539,389936.774292539 793103.697090785,389974.073822053 793118.769641009,389997.141207784 793127.347571339,390016.272715993 793134.133795947,390045.612375907 793143.897435673,390067.074326154 793150.307259376,390078.420612266 793153.473183981,390098.608860793 793158.877929678,390101.28649793 793159.594223108,390115.471412517 793142.593501907,390112.796565171 793141.879072184,390101.176764171 793138.773900624,390081.821153366 793133.585023713,390069.264567299 793129.962089347,390065.066961219 793128.751339411,390062.694825962 793128.065070507,390045.414088926 793122.656814167,390041.727024531 793121.500426193,390027.407321664 793116.679255447,390022.836287385 793115.136629802,390009.601831511 793110.439081592,390004.011596715 793108.454508536,389981.334701565 793100.015964218,389944.392195527 793085.092022196,389943.300459471 793084.640714565,389920.768685644 793075.280377772,389906.745418924 793069.087780384,389885.806288006 793059.192758645,389867.361987106 793050.041555105,389849.175947516 793040.799973325,389833.324270395 793032.314972427)),((387939.651562467 791482.997033142,387738.014040094 791315.123526256,387708.947796592 791290.925976581,387696.052191602 791306.378633953,387926.782620354 791498.45199428,388051.84128348 791602.652806055,388056.847372626 791606.829532178,388070.475567883 791618.187576941,388158.481871744 791691.517190105,388160.019686811 791692.791347339,388163.086907321 791695.365568738,388166.868877409 791698.43146615,388275.978953109 791789.528607619,388280.585510823 791793.376902003,388340.102153724 791843.017052856,388391.928765475 791886.258409973,388403.418353304 791895.828017313,388596.398447907 792056.648268504,388721.774393777 792161.130330856,388746.594242284 792181.81506837,388839.345306994 792259.108549761,388841.270653274 792260.712640717,388856.104982087 792273.079842904,388869.019379255 792257.601112692,388856.299856016 792246.999341602,388851.613287744 792243.095764136,388820.75364638 792217.380284621,388796.72197822 792197.357831666,388755.305642594 792162.840865729,388736.986130434 792147.563805118,388734.679127444 792145.642570219,388703.849569963 792119.956253506,388672.423971357 792093.77835127,388557.118884659 791997.70750773,388554.817553381 791995.789933254,388549.441738155 791991.311252727,388464.633244767 791920.642172057,388416.611551883 791880.644838693,388195.110086461 791695.836045391,388179.588526904 791682.907350309,388168.05500017 791673.300294869,388078.908037639 791599.021193649,388069.769181326 791591.407748581,388064.033197082 791586.630101403,387967.300001943 791506.021455881,387939.651562467 791482.997033142)))",4967258,908643,LIVE,Gazette Notice,Nelson,2020/12/16 13:15:28,Guarantee,"Fee Simple, 1/1, Crown Land Block VI (under action) Waimea Survey District and Crown Land Block VI (under action) Waimea Survey District, 62,937 m2",1,F
"POLYGON ((390956.30110469 791183.444416913,390955.891715234 791159.412160225,390914.657187364 791171.220119842,390914.961770598 791173.025241663,390916.038852501 791179.425544518,390915.468071923 791184.150473539,390914.200023582 791189.91480414,390910.179771678 791197.097267849,390904.543781233 791202.563656342,390897.369792152 791206.589872165,390902.212713674 791219.623394277,390922.647167541 791239.573316467,390926.88584819 791239.52494133,390939.856793096 791226.241598711,390960.983351026 791204.607361114,390956.30110469 791183.444416913))",5007930,951488,LIVE,Freehold,Nelson,2020/12/14 09:32:45,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 551012, 3,045 m2",3,F
"POLYGON ((390955.891715234 791159.412160225,390953.441334363 791017.204800162,390884.637041803 790960.264723495,390964.644199425 790904.678803178,390951.096162523 790893.605798341,390883.009093359 790832.884958634,390843.272436213 790853.805096979,390797.213062984 790853.080461557,390743.112781533 790828.820701585,390736.455939218 790837.648965135,390845.308857076 790927.70766003,390750.90684047 791038.369434765,390785.633599217 791067.989152564,390814.723542537 791103.957966321,390816.180760032 791117.390780151,390810.962378183 791133.39361254,390805.275629546 791141.471647667,390803.543053179 791143.931307292,390797.235904417 791152.89703749,390777.930035304 791176.010225825,390760.36249921 791203.018262282,390742.79064608 791230.028104657,390736.890482132 791239.097965066,390723.302943112 791255.434333705,390704.401533581 791278.162826213,390678.529424507 791309.272984159,390709.540872395 791335.065926715,390727.816595939 791313.091837466,390730.821892903 791315.5908382,390751.089475353 791291.214764448,390775.42603814 791261.953415808,390790.407259563 791229.879527766,390812.519629011 791203.315865873,390841.609330883 791215.697060282,390839.30603438 791217.265665588,390835.575481232 791220.281813304,390831.82191558 791223.85138005,390828.09681224 791228.072542083,390824.742247135 791232.660671805,390821.997205108 791237.219950887,390819.656365849 791241.996320194,390816.026749689 791251.207931514,390814.946981929 791259.110405856,390813.595923154 791280.789635142,390812.88645322 791283.735561362,390809.924017516 791289.229326981,390806.427549298 791292.397531819,390800.658279725 791295.051985081,390797.190166821 791295.645462372,390783.550808091 791296.805399545,390777.971081105 791298.466080104,390772.680900737 791301.661609086,390768.630859305 791305.795333107,390767.035036946 791308.158900969,390764.770414907 791313.279626974,390763.764760881 791318.788824284,390763.905471597 791323.298077316,390764.855474922 791327.541813969,390766.73434771 791332.923252145,390767.015504509 791337.765866488,390766.192452992 791341.168836879,390764.713426224 791343.812059772,390762.742324576 791347.337590448,390756.9746852 791355.235930491,390765.999558299 791354.651388351,390773.629218399 791345.635547942,390772.322336684 791344.532528436,390773.571048016 791340.922781102,390774.13877185 791337.591674908,390773.4210393 791331.656410356,390770.846917227 791322.407314575,390770.964874022 791317.391208664,390772.149802527 791313.487079947,390774.855156952 791309.471957123,390778.894775931 791305.860213923,390783.11618594 791304.062679843,390786.210434879 791303.526119809,390800.057657534 791302.344228937,390804.854469551 791301.043487519,390808.637030342 791304.356040339,390821.362172206 791289.386327053,390827.543206467 791282.06042172,390821.042291037 791276.539870172,390821.884707893 791260.002117835,390823.247655751 791253.166185647,390825.77320467 791245.702385007,390829.721472792 791238.175588393,390834.374106718 791231.726970397,390839.101546025 791226.783330761,390845.635621798 791221.475454986,390847.084436459 791220.622113139,390850.612956202 791218.540471495,390856.643144495 791215.743782659,390862.877704826 791213.456371783,390872.608970009 791211.090058605,390882.1914577 791209.467664928,390897.369792152 791206.589872165,390904.543781233 791202.563656342,390910.179771678 791197.097267849,390914.200023582 791189.91480414,390915.468071923 791184.150473539,390916.038852501 791179.425544518,390914.961770598 791173.025241663,390914.657187364 791171.220119842,390955.891715234 791159.412160225),(390908.56755322 791178.096417767,390908.351296578 791182.612629295,390907.22270197 791187.268367509,390904.246674107 791192.571496779,390900.140990334 791196.694118675,390895.26163481 791199.375673593,390880.963373534 791202.263819255,390871.443291529 791204.184310757,390860.828910335 791206.75496192,390857.260918825 791208.064696315,390844.9501814 791185.481590581,390851.296444583 791172.023453079,390852.667101149 791171.199620399,390877.611132815 791156.215577985,390894.947590171 791161.76078935,390907.937504944 791174.463935236,390908.56755322 791178.096417767))",5007931,951489,LIVE,Freehold,Nelson,2020/12/14 09:32:45,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 551012, 57,198 m2",2,F
"POLYGON ((395028.620598634 793643.285687276,395030.901076032 793642.243280335,395037.139563985 793639.404400219,395044.786266674 793625.658491108,395017.167839499 793610.102246289,395006.61401668 793629.18998784,395005.640367811 793630.936664724,395028.620598634 793643.285687276))",5006304,949784,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 10 Deposited Plan 550626, 723 m2",1,F
"POLYGON ((394961.410580414 793744.406121733,394957.363245572 793748.133086415,394961.484014926 793769.274432175,394963.1755656 793780.570444339,394963.998648479 793780.724656003,394965.97958921 793781.123991881,394974.429296594 793782.838318418,394977.420263654 793783.427163709,394978.115412845 793780.934339294,394968.541357849 793766.845259101,394967.039312196 793761.927942556,394964.712127018 793747.779093585,394961.410580414 793744.406121733))",5006311,949791,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 106 Deposited Plan 550626, 322 m2",1,F
"POLYGON ((395021.740666585 793549.943966226,395025.820488537 793553.574738506,395027.925622125 793551.823280448,395025.081255938 793549.183648037,395019.729045351 793529.259441803,395017.912153584 793535.897753032,395020.503418644 793545.474791582,395021.740666585 793549.943966226))",5033732,978817,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 109 Deposited Plan 550626, 73 m2",1,F
"POLYGON ((395018.483125867 793663.545406005,394992.67833143 793654.124555469,394990.462795965 793658.093436278,394981.117330128 793674.808968027,394980.506874165 793675.898792573,395004.606246787 793688.130195365,395006.107933876 793687.496340342,395009.458790351 793686.093729878,395016.811597767 793667.721984305,395018.483125867 793663.545406005))",5006302,949782,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 8 Deposited Plan 550626, 764 m2",1,F
"POLYGON ((394982.947008641 793785.085782925,394977.420263654 793783.427163709,394971.638231752 793803.878626358,395021.401370551 793831.20599025,395055.69205055 793917.388173978,395064.988117892 793940.720875551,395071.164175358 793956.219828822,395077.793250862 793949.771719137,395120.658327318 793906.30016413,395125.469623985 793901.438951986,395132.554104632 793896.099846207,395139.983720674 793892.052973774,395137.793009381 793886.063500618,395137.194542439 793883.834496554,395140.324498946 793883.207245814,395149.265055508 793881.406637092,395152.900157839 793880.672367356,395154.550377969 793885.389834557,395158.756528809 793892.450523859,395164.576438415 793898.251750348,395171.653160697 793902.432326811,395179.545961823 793904.734663638,395209.237989298 793909.43364736,395214.952063189 793910.771992776,395220.464757597 793912.817277893,395225.671449606 793915.526876065,395230.507992066 793918.871114923,395234.883731128 793922.785165336,395238.734567385 793927.152361656,395242.14284713 793931.915384886,395284.45978153 794013.263191966,395285.800787979 794013.036388801,395330.673387543 794005.511428972,395332.007818843 793969.919298741,395332.158357929 793965.800912311,395333.808148097 793919.275104051,395390.935569395 793916.860845387,395430.089262093 793772.573780526,395456.854843585 793782.182488456,395442.521178888 793811.871045195,395427.283101929 793806.397298398,395397.082735525 793917.36266039,395400.798242899 793948.299023961,395396.20840946 793960.597890357,395388.033339028 793982.939894833,395386.649641793 793986.692854793,395376.800186987 794013.415111424,395402.621012278 794009.131611779,395446.462359932 794034.98815816,395424.611466947 794054.095301907,395420.575493948 794057.605973472,395409.584375021 794067.227963819,395419.18967457 794071.365470987,395430.66535503 794058.89877258,395433.629551118 794055.689139234,395449.781051219 794038.290572591,395510.276763571 793982.994273934,395549.959461494 793928.438101538,395554.155736945 793922.676640537,395555.17791359 793921.287157394,395628.164797815 793879.998512058,395708.839764578 793961.918437387,395861.374288801 793900.192635859,395993.12790075 793846.813181701,396041.210091092 793668.669139689,396050.7883435 793665.797891098,396113.782167408 793646.947912787,396122.146569238 793623.11883005,396156.176744962 793581.072806716,396170.175148359 793585.463377409,396179.797091907 793597.368563617,396171.932482806 793623.661673369,396230.068338298 793681.278722628,396259.810618148 793690.887871109,396483.689520897 793623.040030848,396483.334772698 793571.942841135,396448.101833305 793595.34832597,396342.911494542 793511.989733031,396339.853547868 793505.913189699,396142.062057177 793351.760776531,396132.918387476 793341.077454519,396046.862987953 793274.842817527,396040.607841512 793271.154047106,395705.121651418 793001.325245932,395674.794521849 792925.608415797,395665.465284397 792919.353856093,395585.107021381 792898.568590305,395589.294076424 792893.169896292,395580.427040654 792879.513313907,395518.318457128 792738.380262938,395515.699485579 792732.427644996,395514.539047678 792729.798502998,395511.924288001 792723.812568047,395379.462600595 792752.231320812,395358.944175711 792776.749650378,395331.106109457 792809.520567979,395245.674602784 792861.572881941,395221.373501795 792877.490403467,395166.001684007 792924.691494479,395109.681500008 792968.33202205,394944.317043139 793017.949802949,394904.979100588 793021.131955149,394906.098829968 793270.47276655,394951.545271589 793268.325864137,395025.934163783 793179.856461902,395096.589204354 793199.053194285,395124.620759433 793233.052858763,395160.095043145 793244.854549931,395136.05791467 793310.204969149,395071.431309046 793396.057388988,395050.852680061 793474.017059588,395049.569175046 793473.947693818,395035.754745203 793473.177499969,395035.111586265 793473.14929519,395019.729045351 793529.259441803,395025.081255938 793549.183648037,395027.925622125 793551.823280448,395028.886058086 793551.024303049,395042.332977498 793567.170570905,395041.865115838 793567.856971258,395041.626293873 793568.215899789,395038.710211804 793572.508247299,395052.924002027 793587.40744403,395056.118802187 793595.874265069,395054.004544391 793604.868717153,395052.290460386 793612.162373591,395044.786266674 793625.658491108,395037.139563985 793639.404400219,395042.386318975 793642.317765732,395056.015970702 793617.812331437,395059.124089422 793612.224399686,395066.210848505 793592.912117366,395076.420524126 793581.050388499,395094.083659453 793599.577963724,395097.665451251 793617.696186438,395081.595882537 793637.853887426,395071.642118233 793661.066156098,395070.852576524 793662.905524272,395063.521720385 793679.992737337,395061.581000636 793684.074741503,395039.618157096 793730.279391846,395020.44147901 793757.907350788,395006.52293609 793792.102531273,394982.947008641 793785.085782925))",5006310,949790,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 18927 and Lot 36 Deposited Plan 353023 and Lot 108 Deposited Plan 550626, 1,077,636 m2",1,F